regfile0: 00000000
regfile1: 00000001
regfile2: 00000003
regfile3: 00000006
regfile4: 0000000a
regfile5: 0000000f
regfile6: 00000015
regfile7: 0000001c
regfile8: 00000024
regfile9: 0000002d
regfile10: 00000037
regfile11: 00000042
regfile12: 0000004e
regfile13: 0000005b
regfile14: 00000069
regfile15: 00000078
regfile16: 00000088
regfile17: 00000099
regfile18: 000000ab
regfile19: 000000be
regfile20: 000000d2
regfile21: 000000e7
regfile22: 000000fd
regfile23: 00000114
regfile24: 0000012c
regfile25: 00000145
regfile26: 0000015f
regfile27: 0000017a
regfile28: 00000196
regfile29: 000001b3
regfile30: 000001d1
regfile31: 000001f0
