regfile0: 00000000
regfile1: ffffeef0
regfile2: 0000004e
regfile3: ffffeef0
regfile4: 0000004e
regfile5: ffffeef0
regfile6: 0000004e
regfile7: ffffeef0
regfile8: 0000004e
regfile9: ffffeef0
regfile10: 0000004e
regfile11: ffffeef0
regfile12: 0000004e
regfile13: ffffeef0
regfile14: 0000004e
regfile15: ffffeef0
regfile16: 0000004e
regfile17: ffffeef0
regfile18: 0000004e
regfile19: ffffeef0
regfile20: 0000004e
regfile21: ffffeef0
regfile22: 0000004e
regfile23: ffffeef0
regfile24: 0000004e
regfile25: ffffeef0
regfile26: 0000004e
regfile27: ffffeef0
regfile28: 0000004e
regfile29: ffffeef0
regfile30: ffffeef0
regfile31: 0000004e
